time	value
2026-03-26 03:07:50.306	7.1
2026-03-26 03:08:50.892	5.4
2026-03-26 03:09:51.499	6.0
2026-03-26 03:10:52.100	5.3
2026-03-26 03:11:52.634	6.1
2026-03-26 03:12:53.177	6.3
2026-03-26 03:13:53.829	5.3
2026-03-26 03:14:54.458	5.4
2026-03-26 03:15:54.997	6.0
2026-03-26 03:16:55.609	6.0
2026-03-26 03:17:56.213	6.2
2026-03-26 03:18:56.770	5.3
2026-03-26 03:19:57.322	5.2
2026-03-26 03:20:57.845	5.5
2026-03-26 03:21:58.381	5.9
2026-03-26 03:22:58.945	5.3
2026-03-26 03:23:59.568	6.3
2026-03-26 03:25:00.110	5.2
2026-03-26 03:26:00.723	5.4
2026-03-26 03:27:01.294	5.9
2026-03-26 03:28:01.856	5.7
2026-03-26 03:29:02.400	5.6
2026-03-26 03:30:03.033	5.4
2026-03-26 03:31:03.617	6.5
2026-03-26 03:32:04.191	5.6
2026-03-26 03:33:04.758	5.7
2026-03-26 03:34:05.322	7.9
2026-03-26 03:35:05.869	5.0
2026-03-26 03:36:06.425	4.7
2026-03-26 03:37:07.013	5.9
2026-03-26 03:38:07.582	7.0
2026-03-26 03:39:08.084	6.3
2026-03-26 03:40:08.676	6.7
2026-03-26 03:41:09.281	5.3
2026-03-26 03:42:09.870	5.7
2026-03-26 03:43:10.392	7.6
2026-03-26 03:44:10.903	5.4
2026-03-26 03:45:11.454	5.9
2026-03-26 03:46:12.046	5.1
2026-03-26 03:47:12.605	5.4
2026-03-26 03:48:13.231	4.8
2026-03-26 03:49:13.768	6.6
2026-03-26 03:50:14.391	5.6
2026-03-26 03:51:14.958	5.7
2026-03-26 03:52:15.532	4.8
2026-03-26 03:53:16.101	5.4
2026-03-26 03:54:16.695	5.4
2026-03-26 03:55:17.286	5.5
2026-03-26 03:56:17.872	5.4
2026-03-26 03:57:18.516	5.6
2026-03-26 03:58:19.121	5.7
2026-03-26 03:59:19.695	5.8
2026-03-26 04:00:20.217	6.3
2026-03-26 04:01:20.719	5.3
2026-03-26 04:02:21.319	5.5
2026-03-26 04:03:21.930	6.7
2026-03-26 04:04:22.526	6.4
2026-03-26 04:05:23.063	6.1
2026-03-26 04:06:23.625	5.5
2026-03-26 04:07:24.158	5.4
2026-03-26 04:08:24.715	5.7
2026-03-26 04:09:25.276	6.0
2026-03-26 04:10:25.855	8.9
2026-03-26 04:11:26.383	5.5
2026-03-26 04:12:26.995	5.3
2026-03-26 04:13:27.590	5.3
2026-03-26 04:14:28.218	5.7
2026-03-26 04:15:28.762	5.3
2026-03-26 04:16:29.329	6.0
2026-03-26 04:17:29.881	5.3
2026-03-26 04:18:30.475	5.5
2026-03-26 04:19:31.043	6.5
2026-03-26 04:20:31.615	6.6
2026-03-26 04:21:32.150	5.7
2026-03-26 04:22:32.739	6.1
2026-03-26 04:23:33.287	5.3
2026-03-26 04:24:33.873	5.4
2026-03-26 04:25:34.484	6.2
2026-03-26 04:26:35.007	7.0
2026-03-26 04:27:35.572	5.6
2026-03-26 04:28:36.146	5.6
2026-03-26 04:29:36.749	6.4
2026-03-26 04:30:37.327	6.2
2026-03-26 04:31:37.857	6.8
2026-03-26 04:32:38.436	5.9
2026-03-26 04:33:38.974	5.9
2026-03-26 04:34:39.549	5.9
2026-03-26 04:35:40.092	6.1
2026-03-26 04:36:40.695	5.8
2026-03-26 04:53:28.470	5.0
2026-03-26 05:24:37.189	6.3
2026-03-26 05:25:37.789	5.9
